"analysis_dimension","dimension_value","total_orders","cancelled_orders","cancel_rate_pct","secondary_dimension"
"category","dvds_blu_ray","59","2","3.39",""
"category","construction_tools_safety","167","5","2.99",""
"category","costruction_tools_garden","194","4","2.06",""
"category","musical_instruments","628","11","1.75",""
"category","fixed_telephony","217","3","1.38",""
"category","books_general_interest","512","7","1.37",""
"category","home_appliances_2","234","3","1.28",""
"category","small_appliances","630","8","1.27",""
"category","consoles_games","1062","10","0.94",""
"category","fashion_male_clothing","112","1","0.89",""
"category","food_drink","227","2","0.88",""
"category","toys","3886","34","0.87",""
"category","fashion_shoes","240","2","0.83",""
"category","housewares","5884","49","0.83",""
"category","construction_tools_lights","244","2","0.82",""
"category","kitchen_dining_laundry_garden_furniture","248","2","0.81",""
"category","auto","3897","31","0.8",""
"category","air_conditioning","253","2","0.79",""
"category","christmas_supplies","128","1","0.78",""
"category","baby","2885","22","0.76",""
"category","computers_accessories","6689","46","0.69",""
"category","sports_leisure","7720","51","0.66",""
"category","furniture_decor","6449","36","0.56",""
"category","garden_tools","3518","19","0.54",""
"category","perfumery","3162","17","0.54",""
"category","stationery","2311","12","0.52",""
"category","art","202","1","0.5",""
"category","electronics","2550","12","0.47",""
"category","furniture_living_room","422","2","0.47",""
"category","cool_stuff","3632","17","0.47",""
"category","telephony","4199","18","0.43",""
"category","health_beauty","8836","36","0.41",""
"category","luggage_accessories","1034","4","0.39",""
"category","watches_gifts","5624","21","0.37",""
"category","market_place","280","1","0.36",""
"category","drinks","297","1","0.34",""
"category","fashion_bags_accessories","1864","6","0.32",""
"category","audio","350","1","0.29",""
"category","pet_shop","1710","5","0.29",""
"category","construction_tools_construction","748","2","0.27",""
"category","home_appliances","764","2","0.26",""
"category","food","450","1","0.22",""
"category","home_construction","490","1","0.2",""
"category","bed_bath_table","9417","18","0.19",""
"category","office_furniture","1273","1","0.08",""
"category","books_technical","260","0","0.0",""
"category","agro_industry_and_commerce","182","0","0.0",""
"category","party_supplies","39","0","0.0",""
"category","home_confort","397","0","0.0",""
"category","cine_photo","65","0","0.0",""
"category","costruction_tools_tools","97","0","0.0",""
"category","fashio_female_clothing","39","0","0.0",""
"category","fashion_underwear_beach","121","0","0.0",""
"category","industry_commerce_and_business","235","0","0.0",""
"category","books_imported","53","0","0.0",""
"category","furniture_mattress_and_upholstery","38","0","0.0",""
"category","furniture_bedroom","95","0","0.0",""
"category","music","38","0","0.0",""
"category","computers","181","0","0.0",""
"category","small_appliances_home_oven_and_coffee","75","0","0.0",""
"category","signaling_and_security","140","0","0.0",""
"category","tablets_printing_image","79","0","0.0",""
"state","RO","253","7","2.77",""
"state","SP","41746","619","1.48",""
"state","MA","747","11","1.47",""
"state","SE","350","5","1.43",""
"state","PR","5045","62","1.23",""
"state","RJ","12852","154","1.2",""
"state","MG","11635","139","1.19",""
"state","GO","2020","22","1.09",""
"state","BA","3380","36","1.07",""
"state","SC","3637","37","1.02",""
"state","PI","495","5","1.01",""
"state","MS","715","7","0.98",""
"state","CE","1336","13","0.97",""
"state","PB","536","5","0.93",""
"state","RS","5466","49","0.9",""
"state","DF","2140","19","0.89",""
"state","ES","2033","15","0.74",""
"state","TO","280","2","0.71",""
"state","AM","148","1","0.68",""
"state","RN","485","3","0.62",""
"state","PA","975","6","0.62",""
"state","MT","907","5","0.55",""
"state","PE","1652","9","0.54",""
"state","AL","413","2","0.48",""
"state","AC","81","0","0.0",""
"state","AP","68","0","0.0",""
