seller_id,seller_city,seller_state,total_orders,total_revenue,avg_order_value,late_orders,late_rate_pct,avg_days_to_deliver,avg_days_vs_estimate,avg_review_score,reviews_received,seller_risk_tier
2709af9587499e95e803a6498a5a56e9,sao paulo,SP,25,1730.29,37.62,23,92.0,11.9,-4.5,2.6,45,Elevated Risk
b1b3948701c5c72445495bd161b83a4c,sao paulo,SP,14,21924.25,1566.02,9,64.29,22.9,4.1,1.93,14,Average
c37b2059d4f90d4feead554e5246565e,sao paulo,SP,12,1061.28,66.33,7,58.33,19.8,-4.4,3.75,16,Average
02dcd3e8e25bee036e32512bcf175493,contagem,MG,13,1806.07,106.24,7,53.85,17.6,-5.0,3.67,15,Average
26e2c91ef821e1ff8985f408788fe35b,ibitinga,SP,12,1923.87,137.42,5,41.67,24.5,-0.6,3.0,14,Average
cb41bfbcbda0aea354a834ab222f9a59,sao paulo,SP,11,4650.66,422.79,4,36.36,37.0,9.5,3.27,11,Average
5011f0d93373a4c5753adf58ca77af8d,santos,SP,11,1223.19,58.25,4,36.36,14.7,-4.2,3.67,21,Average
54965bbe3e4f07ae045b90b0b8541f52,foz do iguacu,PR,73,12427.96,153.43,26,35.62,26.2,-2.4,3.07,76,High Risk
ede0c03645598cdfc63ca8237acbe73d,ribeirao preto,SP,43,3060.45,65.12,15,34.88,18.0,-4.2,3.67,45,Elevated Risk
2e1a7d075abe038c1b2743005fe42ff1,sao paulo,SP,18,1711.69,77.8,6,33.33,14.4,-6.0,3.82,22,Average
821fb029fc6e495ca4f08a35d51e53a5,sao paulo,SP,24,19217.17,768.69,8,33.33,16.0,-4.9,3.5,24,Elevated Risk
ecccfa2bb93b34a3bf033cc5d1dcdc69,curitiba,PR,12,1333.32,83.33,4,33.33,34.6,-13.6,2.5,16,Average
5b0cc932433fa5184b5b94bfe6bcc256,ibitinga,SP,12,1994.09,117.3,4,33.33,11.2,-8.6,3.47,17,Average
ad781527c93d00d89a11eecd9dcad7c1,sao jose do rio preto,SP,38,8213.12,216.13,12,31.58,25.0,-9.1,3.34,38,Elevated Risk
b19f3ca2ea475913750f25a5c37c8d8f,divinopolis,MG,19,5176.65,272.46,6,31.58,18.0,-7.1,3.26,19,Average
2a261b5b644fa05f4f2700eb93544f2c,porto ferreira,SP,51,7396.73,90.2,16,31.37,14.0,-9.1,3.49,77,High Risk
adcf50477d6a1f5d91bb9d54c4903cb5,claudio,MG,16,1597.63,51.54,5,31.25,24.0,-12.3,3.35,31,Average
835f0f7810c76831d6c7d24c7a646d4d,sao paulo,SP,42,5922.25,123.38,13,30.95,18.0,-5.7,3.31,48,Elevated Risk
e504a4e2efaa45cbff7e268a2c58c956,sao pedro,SP,10,1329.7,120.88,3,30.0,12.2,-7.3,3.91,11,Average
1dfe5347016252a7884b694d4f10f5c4,ibitinga,SP,20,2052.54,78.94,6,30.0,19.0,-7.7,3.19,26,Elevated Risk
fdaaf5bfda82b7b80535610c831b8d09,sao jose do rio preto,SP,10,2848.32,189.89,3,30.0,10.5,-10.9,3.93,15,Average
7f152321c60a266edc53af1925ef96c1,criciuma,SC,20,4471.92,223.6,6,30.0,23.1,-6.4,3.8,20,Elevated Risk
c4d51195486dc781531876a7d00453d8,presidente prudente,SP,17,12038.35,708.14,5,29.41,23.1,-12.8,3.94,17,Average
f76a3b1349b6df1ee875d1f3fa4340f0,sao paulo,SP,24,4748.98,197.87,7,29.17,16.7,-5.5,3.46,24,Elevated Risk
02d35243ea2e497335cd0f076b45675d,natal,RN,14,6399.95,400.0,4,28.57,25.4,-6.3,2.69,16,Average
bbad7e518d7af88a0897397ffdca1979,sao paulo,SP,68,5741.24,68.35,19,27.94,14.8,-7.0,3.05,83,High Risk
822bad9bc42b51213ba522fe87b7ab5d,balneario camboriu,SC,18,5687.34,315.96,5,27.78,26.2,-4.4,4.11,18,Average
91f0eec23d4a61d7d7caeefa3f0ad1ca,tubarao,SC,11,2545.26,231.39,3,27.27,25.7,-5.7,3.55,11,Average
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,11,3064.33,133.23,3,27.27,12.7,-17.8,3.3,23,Average
eb4df17aed01d918c65f0f8d650900c0,paulinia,SP,11,3925.46,356.86,3,27.27,12.5,-10.5,3.91,11,Average
5b581417df4480f632484ba681e53944,florianopolis,SC,11,2214.01,184.5,3,27.27,19.7,-4.3,3.5,12,Average
2a1348e9addc1af5aaa619b1a3679d6b,belo horizonte,MG,44,2826.93,60.15,12,27.27,17.6,-8.8,3.11,47,Elevated Risk
a066df7361163e7ddc5d7452dd17448b,franca,SP,15,1344.62,79.1,4,26.67,15.4,-8.4,4.47,17,Average
3a1a1fec38dd360f15fc912e821e169d,sao paulo,SP,15,2378.63,158.58,4,26.67,14.1,-5.2,3.87,15,Average
054694fa03fe82cec4b7551487331d74,itajobi,SP,19,8410.44,420.52,5,26.32,21.9,-10.2,3.3,20,Average
71039d19d4303bf9054d69e9a9236699,sao paulo,SP,35,4158.65,109.44,9,25.71,12.9,-7.3,3.68,38,Elevated Risk
6039e27294dc75811c0d8a39069f52c0,osasco,SP,63,15835.52,213.99,16,25.4,17.5,-7.1,3.86,74,High Risk
e64d65bc8dbec2accda90c58de5d1246,rio claro,SP,12,1899.96,158.33,3,25.0,13.0,-7.3,3.08,12,Average
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,16,3024.5,77.55,4,25.0,11.3,-16.1,3.64,39,Average
99a54764c341d5dc80b4a8fac4eba3fb,sao paulo,SP,44,4877.58,73.9,11,25.0,6.7,-10.2,3.51,65,Elevated Risk
4e5725ba188db8252977a4f0227bd462,ribeirao preto,SP,21,2229.36,92.89,5,23.81,20.3,-2.8,3.54,24,Elevated Risk
f63d8f293af3a6454377546bd9dd19ff,votorantim,SP,17,2246.95,80.25,4,23.53,17.8,-9.8,3.82,28,Average
5bc55dbe2f12b6af6d83ed46023e0dc8,coronel fabriciano,MG,17,3409.38,162.35,4,23.53,12.5,-9.6,2.33,21,Average
ec4608a1f76453166bb312b2968aeaf4,porto ferreira,SP,17,1863.36,64.25,4,23.53,13.6,-7.3,3.03,29,Average
b64d51f0435e884e8de603b1655155ae,garulhos,SP,17,773.54,33.63,4,23.53,7.6,-9.7,4.13,23,Average
beadbee30901a7f61d031b6b686095ad,guarulhos,SP,64,5311.52,78.11,15,23.44,13.1,-9.7,3.94,68,High Risk
6ec1a01e866584bb679eb9b098345919,santos,SP,30,4794.76,154.67,7,23.33,14.3,-5.1,4.24,29,Elevated Risk
5abb8ea023c77787f2c15da891c8d384,joinville,SC,13,2987.2,229.78,3,23.08,19.3,-7.2,3.92,13,Average
5f67c6082caacb26e431a7b17940cece,maringa,PR,13,1871.03,133.65,3,23.08,21.9,-1.9,3.57,14,Average
