order_month,product_category_name,total_orders,total_items,product_revenue,freight_revenue,total_revenue,avg_item_price,avg_order_value,platform_revenue,revenue_share_pct
2016-09-01,beleza_saude,1,3,134.97,8.49,143.46,44.99,47.82,143.46,100.0
2016-10-01,alimentos,1,1,79.9,16.33,96.23,79.9,96.23,46490.66,0.21
2016-10-01,audio,2,2,156.99,26.04,183.03,78.5,91.52,46490.66,0.39
2016-10-01,automotivo,8,8,1128.26,223.01,1351.27,141.03,168.91,46490.66,2.91
2016-10-01,bebes,9,11,1371.17,146.38,1517.55,124.65,137.96,46490.66,3.26
2016-10-01,beleza_saude,36,40,3439.25,747.04,4186.29,85.98,104.66,46490.66,9.0
2016-10-01,brinquedos,22,24,4106.5,485.03,4591.53,171.1,191.31,46490.66,9.88
2016-10-01,cama_mesa_banho,5,8,478.99,127.59,606.58,59.87,75.82,46490.66,1.3
2016-10-01,climatizacao,4,8,1349.29,154.32,1503.61,168.66,187.95,46490.66,3.23
2016-10-01,consoles_games,7,7,3619.36,166.0,3785.36,517.05,540.77,46490.66,8.14
2016-10-01,cool_stuff,7,7,1046.1,190.78,1236.88,149.44,176.7,46490.66,2.66
2016-10-01,eletronicos,1,1,107.99,11.8,119.79,107.99,119.79,46490.66,0.26
2016-10-01,esporte_lazer,17,17,2012.15,478.61,2490.76,118.36,146.52,46490.66,5.36
2016-10-01,fashion_bolsas_e_acessorios,7,8,373.3,129.68,502.98,46.66,62.87,46490.66,1.08
2016-10-01,fashion_calcados,1,1,29.99,10.96,40.95,29.99,40.95,46490.66,0.09
2016-10-01,fashion_roupa_feminina,1,1,54.9,14.73,69.63,54.9,69.63,46490.66,0.15
2016-10-01,fashion_roupa_masculina,1,1,24.9,10.96,35.86,24.9,35.86,46490.66,0.08
2016-10-01,ferramentas_jardim,5,5,1359.88,105.31,1465.19,271.98,293.04,46490.66,3.15
2016-10-01,fraldas_higiene,1,1,134.9,16.09,150.99,134.9,150.99,46490.66,0.32
2016-10-01,industria_comercio_e_negocios,3,4,359.6,73.96,433.56,89.9,108.39,46490.66,0.93
2016-10-01,informatica_acessorios,12,12,669.02,192.82,861.84,55.75,71.82,46490.66,1.85
2016-10-01,market_place,5,11,915.29,226.66,1141.95,83.21,103.81,46490.66,2.46
2016-10-01,moveis_decoracao,49,65,5690.52,1208.83,6899.35,87.55,106.14,46490.66,14.84
2016-10-01,moveis_escritorio,6,6,1300.88,286.67,1587.55,216.81,264.59,46490.66,3.41
2016-10-01,perfumaria,26,29,4829.1,486.1,5315.2,166.52,183.28,46490.66,11.43
2016-10-01,pet_shop,4,4,689.68,86.18,775.86,172.42,193.97,46490.66,1.67
2016-10-01,relogios_presentes,4,4,2711.07,82.64,2793.71,677.77,698.43,46490.66,6.01
2016-10-01,telefonia,7,8,228.29,105.96,334.25,28.54,41.78,46490.66,0.72
2016-10-01,telefonia_fixa,5,5,704.88,69.57,774.45,140.98,154.89,46490.66,1.67
2016-10-01,utilidades_domesticas,9,12,1287.07,255.47,1542.54,107.26,128.55,46490.66,3.32
2016-12-01,fashion_bolsas_e_acessorios,1,1,10.9,8.72,19.62,10.9,19.62,19.62,100.0
2017-01-01,agro_industria_e_comercio,2,3,65.97,41.79,107.76,21.99,35.92,127482.37,0.08
2017-01-01,alimentos,2,2,42.82,36.0,78.82,21.41,39.41,127482.37,0.06
2017-01-01,automotivo,27,31,4820.03,566.35,5386.38,155.48,173.75,127482.37,4.23
2017-01-01,bebes,31,40,6217.88,724.06,6941.94,155.45,173.55,127482.37,5.45
2017-01-01,beleza_saude,79,82,12366.44,1436.36,13802.8,150.81,168.33,127482.37,10.83
2017-01-01,brinquedos,41,41,4568.19,723.07,5291.26,111.42,129.06,127482.37,4.15
